numerator,denominator,apc,se,n_obs,design,spending_category,spend_category_unemp,spend_category_emp
Spend (total),income,0.43,0.016,52094,UI onset (waiting),total_spend_expanded,3551.0445502664265,4590.331293204797
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),total_spend_expanded,3551.0445502664265,4590.331293204797
Spend (cardcash),income,0.324,0.012,52094,UI onset (waiting),total_spend_cardcash,2051.0869021608423,2836.6127886197974
Spend (cardcash),ui,0.235,0.008,52094,UI onset (waiting),total_spend_cardcash,2051.0869021608423,2836.6127886197974
Spend (total),income,0.319,0.009,309077,FPUC expiration,total_spend_expanded,4478.512862598695,4513.680252550921
Spend (total),ui,0.225,0.006,309077,FPUC expiration,total_spend_expanded,4478.512862598695,4513.680252550921
Spend (cardcash),income,0.222,0.005,309077,FPUC expiration,total_spend_cardcash,2540.6560364216857,2756.572595227856
Spend (cardcash),ui,0.157,0.004,309077,FPUC expiration,total_spend_cardcash,2540.6560364216857,2756.572595227856
Spend (total),income,0.305,0.017,249652,$300 onset,total_spend_expanded,4764.298200893296,4216.224015779508
Spend (total),ui,0.457,0.026,249652,$300 onset,total_spend_expanded,4764.298200893296,4216.224015779508
Spend (cardcash),income,0.207,0.01,249652,$300 onset,total_spend_cardcash,2641.4438946304886,2455.5324990532295
Spend (cardcash),ui,0.31,0.015,249652,$300 onset,total_spend_cardcash,2641.4438946304886,2455.5324990532295
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,total_spend_expanded,5264.908413283016,4620.736636078946
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,total_spend_expanded,5264.908413283016,4620.736636078946
Spend (cardcash),income,0.213,0.01,129293,$300 expiration Sept states,total_spend_cardcash,2978.4406121786037,2618.203229189425
Spend (cardcash),ui,0.281,0.013,129293,$300 expiration Sept states,total_spend_cardcash,2978.4406121786037,2618.203229189425
Spend (total),income,0.348,0.028,121994,$300 expiration June states,total_spend_expanded,5062.58777682479,4575.9751919071705
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,total_spend_expanded,5062.58777682479,4575.9751919071705
Spend (cardcash),income,0.225,0.018,121994,$300 expiration June states,total_spend_cardcash,2910.98512579965,2898.721189130219
Spend (cardcash),ui,0.205,0.016,121994,$300 expiration June states,total_spend_cardcash,2910.98512579965,2898.721189130219
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,total_spend_expanded,5401.592693402849,4575.9751919071705
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,total_spend_expanded,5401.592693402849,4575.9751919071705
Spend (cardcash),income,0.292,0.027,47623,$300 expiration June vs. Sept states,total_spend_cardcash,3216.263293114828,2898.721189130219
Spend (cardcash),ui,0.163,0.014,47623,$300 expiration June vs. Sept states,total_spend_cardcash,3216.263293114828,2898.721189130219
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Entertainment,34.534797912624676,57.784766517752175
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Entertainment,34.534797912624676,57.784766517752175
Spend (cardcash),income,0.003,0,52094,UI onset (waiting),Entertainment,34.534797912624676,57.784766517752175
Spend (cardcash),ui,0.002,0,52094,UI onset (waiting),Entertainment,34.534797912624676,57.784766517752175
Spend (total),income,0.319,0.009,309077,FPUC expiration,Entertainment,42.9865847173791,58.28970822419432
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Entertainment,42.9865847173791,58.28970822419432
Spend (cardcash),income,0.001,0,309077,FPUC expiration,Entertainment,42.9865847173791,58.28970822419432
Spend (cardcash),ui,0.001,0,309077,FPUC expiration,Entertainment,42.9865847173791,58.28970822419432
Spend (total),income,0.305,0.017,249652,$300 onset,Entertainment,46.13558319567056,45.23067620450242
Spend (total),ui,0.457,0.026,249652,$300 onset,Entertainment,46.13558319567056,45.23067620450242
Spend (cardcash),income,0.002,0,249652,$300 onset,Entertainment,46.13558319567056,45.23067620450242
Spend (cardcash),ui,0.003,0.001,249652,$300 onset,Entertainment,46.13558319567056,45.23067620450242
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Entertainment,60.77581381534127,55.17123443303473
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Entertainment,60.77581381534127,55.17123443303473
Spend (cardcash),income,0.004,0.001,129293,$300 expiration Sept states,Entertainment,60.77581381534127,55.17123443303473
Spend (cardcash),ui,0.006,0.001,129293,$300 expiration Sept states,Entertainment,60.77581381534127,55.17123443303473
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Entertainment,60.18420793699632,49.608205891103836
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Entertainment,60.18420793699632,49.608205891103836
Spend (cardcash),income,0.005,0.001,121994,$300 expiration June states,Entertainment,60.18420793699632,49.608205891103836
Spend (cardcash),ui,0.005,0.001,121994,$300 expiration June states,Entertainment,60.18420793699632,49.608205891103836
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Entertainment,69.56322791653344,49.608205891103836
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Entertainment,69.56322791653344,49.608205891103836
Spend (cardcash),income,0.012,0.001,47623,$300 expiration June vs. Sept states,Entertainment,69.56322791653344,49.608205891103836
Spend (cardcash),ui,0.007,0.001,47623,$300 expiration June vs. Sept states,Entertainment,69.56322791653344,49.608205891103836
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Home_Improvement,87.49494839185445,71.93705525511403
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Home_Improvement,87.49494839185445,71.93705525511403
Spend (cardcash),income,0.02,0.001,52094,UI onset (waiting),Home_Improvement,87.49494839185445,71.93705525511403
Spend (cardcash),ui,0.015,0.001,52094,UI onset (waiting),Home_Improvement,87.49494839185445,71.93705525511403
Spend (total),income,0.319,0.009,309077,FPUC expiration,Home_Improvement,86.59399422571998,53.53660737323586
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Home_Improvement,86.59399422571998,53.53660737323586
Spend (cardcash),income,0.008,0.001,309077,FPUC expiration,Home_Improvement,86.59399422571998,53.53660737323586
Spend (cardcash),ui,0.006,0.001,309077,FPUC expiration,Home_Improvement,86.59399422571998,53.53660737323586
Spend (total),income,0.305,0.017,249652,$300 onset,Home_Improvement,79.13557893370422,39.87994656006733
Spend (total),ui,0.457,0.026,249652,$300 onset,Home_Improvement,79.13557893370422,39.87994656006733
Spend (cardcash),income,0.003,0.001,249652,$300 onset,Home_Improvement,79.13557893370422,39.87994656006733
Spend (cardcash),ui,0.005,0.002,249652,$300 onset,Home_Improvement,79.13557893370422,39.87994656006733
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Home_Improvement,81.94643447474974,47.44941446362246
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Home_Improvement,81.94643447474974,47.44941446362246
Spend (cardcash),income,0.006,0.001,129293,$300 expiration Sept states,Home_Improvement,81.94643447474974,47.44941446362246
Spend (cardcash),ui,0.008,0.002,129293,$300 expiration Sept states,Home_Improvement,81.94643447474974,47.44941446362246
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Home_Improvement,78.80316806005727,64.57635029257165
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Home_Improvement,78.80316806005727,64.57635029257165
Spend (cardcash),income,0.003,0.002,121994,$300 expiration June states,Home_Improvement,78.80316806005727,64.57635029257165
Spend (cardcash),ui,0.003,0.002,121994,$300 expiration June states,Home_Improvement,78.80316806005727,64.57635029257165
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Home_Improvement,77.59200542074804,64.57635029257165
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Home_Improvement,77.59200542074804,64.57635029257165
Spend (cardcash),income,0.007,0.003,47623,$300 expiration June vs. Sept states,Home_Improvement,77.59200542074804,64.57635029257165
Spend (cardcash),ui,0.004,0.002,47623,$300 expiration June vs. Sept states,Home_Improvement,77.59200542074804,64.57635029257165
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Insurance,43.973191522721535,50.15143804373384
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Insurance,43.973191522721535,50.15143804373384
Spend (cardcash),income,0.003,0.001,52094,UI onset (waiting),Insurance,43.973191522721535,50.15143804373384
Spend (cardcash),ui,0.003,0.001,52094,UI onset (waiting),Insurance,43.973191522721535,50.15143804373384
Spend (total),income,0.319,0.009,309077,FPUC expiration,Insurance,46.32837918759449,50.65022609692847
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Insurance,46.32837918759449,50.65022609692847
Spend (cardcash),income,0.003,0,309077,FPUC expiration,Insurance,46.32837918759449,50.65022609692847
Spend (cardcash),ui,0.002,0,309077,FPUC expiration,Insurance,46.32837918759449,50.65022609692847
Spend (total),income,0.305,0.017,249652,$300 onset,Insurance,48.41214210507367,46.523784136334946
Spend (total),ui,0.457,0.026,249652,$300 onset,Insurance,48.41214210507367,46.523784136334946
Spend (cardcash),income,0.001,0.001,249652,$300 onset,Insurance,48.41214210507367,46.523784136334946
Spend (cardcash),ui,0.002,0.001,249652,$300 onset,Insurance,48.41214210507367,46.523784136334946
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Insurance,50.2686558014887,47.83628577670964
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Insurance,50.2686558014887,47.83628577670964
Spend (cardcash),income,0.001,0.001,129293,$300 expiration Sept states,Insurance,50.2686558014887,47.83628577670964
Spend (cardcash),ui,0.002,0.001,129293,$300 expiration Sept states,Insurance,50.2686558014887,47.83628577670964
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Insurance,51.63996970750671,62.38929584449073
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Insurance,51.63996970750671,62.38929584449073
Spend (cardcash),income,0.003,0.001,121994,$300 expiration June states,Insurance,51.63996970750671,62.38929584449073
Spend (cardcash),ui,0.003,0.001,121994,$300 expiration June states,Insurance,51.63996970750671,62.38929584449073
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Insurance,54.56833553766712,62.38929584449073
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Insurance,54.56833553766712,62.38929584449073
Spend (cardcash),income,0.004,0.002,47623,$300 expiration June vs. Sept states,Insurance,54.56833553766712,62.38929584449073
Spend (cardcash),ui,0.002,0.001,47623,$300 expiration June vs. Sept states,Insurance,54.56833553766712,62.38929584449073
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Auto_Repair,34.589305974814124,40.33388572772161
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Auto_Repair,34.589305974814124,40.33388572772161
Spend (cardcash),income,0.006,0.001,52094,UI onset (waiting),Auto_Repair,34.589305974814124,40.33388572772161
Spend (cardcash),ui,0.005,0.001,52094,UI onset (waiting),Auto_Repair,34.589305974814124,40.33388572772161
Spend (total),income,0.319,0.009,309077,FPUC expiration,Auto_Repair,47.5908031523092,38.68048920338298
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Auto_Repair,47.5908031523092,38.68048920338298
Spend (cardcash),income,0.003,0.001,309077,FPUC expiration,Auto_Repair,47.5908031523092,38.68048920338298
Spend (cardcash),ui,0.002,0,309077,FPUC expiration,Auto_Repair,47.5908031523092,38.68048920338298
Spend (total),income,0.305,0.017,249652,$300 onset,Auto_Repair,47.708846560427,31.3682026088786
Spend (total),ui,0.457,0.026,249652,$300 onset,Auto_Repair,47.708846560427,31.3682026088786
Spend (cardcash),income,0.001,0.001,249652,$300 onset,Auto_Repair,47.708846560427,31.3682026088786
Spend (cardcash),ui,0.001,0.002,249652,$300 onset,Auto_Repair,47.708846560427,31.3682026088786
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Auto_Repair,50.13878539383095,38.315971160148564
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Auto_Repair,50.13878539383095,38.315971160148564
Spend (cardcash),income,0.002,0.001,129293,$300 expiration Sept states,Auto_Repair,50.13878539383095,38.315971160148564
Spend (cardcash),ui,0.003,0.001,129293,$300 expiration Sept states,Auto_Repair,50.13878539383095,38.315971160148564
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Auto_Repair,50.11663086730665,55.479275017355945
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Auto_Repair,50.11663086730665,55.479275017355945
Spend (cardcash),income,0,0.002,121994,$300 expiration June states,Auto_Repair,50.11663086730665,55.479275017355945
Spend (cardcash),ui,0,0.002,121994,$300 expiration June states,Auto_Repair,50.11663086730665,55.479275017355945
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Auto_Repair,45.53592208639207,55.479275017355945
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Auto_Repair,45.53592208639207,55.479275017355945
Spend (cardcash),income,0,0.003,47623,$300 expiration June vs. Sept states,Auto_Repair,45.53592208639207,55.479275017355945
Spend (cardcash),ui,0,0.001,47623,$300 expiration June vs. Sept states,Auto_Repair,45.53592208639207,55.479275017355945
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Hotels_&_Rental_cars,25.794928472701304,61.71454596755232
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Hotels_&_Rental_cars,25.794928472701304,61.71454596755232
Spend (cardcash),income,0.003,0.002,52094,UI onset (waiting),Hotels_&_Rental_cars,25.794928472701304,61.71454596755232
Spend (cardcash),ui,0.002,0.001,52094,UI onset (waiting),Hotels_&_Rental_cars,25.794928472701304,61.71454596755232
Spend (total),income,0.319,0.009,309077,FPUC expiration,Hotels_&_Rental_cars,46.33461334011057,62.87094113660946
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Hotels_&_Rental_cars,46.33461334011057,62.87094113660946
Spend (cardcash),income,0.001,0.001,309077,FPUC expiration,Hotels_&_Rental_cars,46.33461334011057,62.87094113660946
Spend (cardcash),ui,0.001,0.001,309077,FPUC expiration,Hotels_&_Rental_cars,46.33461334011057,62.87094113660946
Spend (total),income,0.305,0.017,249652,$300 onset,Hotels_&_Rental_cars,46.457907472776235,52.53747380601725
Spend (total),ui,0.457,0.026,249652,$300 onset,Hotels_&_Rental_cars,46.457907472776235,52.53747380601725
Spend (cardcash),income,0,0.002,249652,$300 onset,Hotels_&_Rental_cars,46.457907472776235,52.53747380601725
Spend (cardcash),ui,0.001,0.003,249652,$300 onset,Hotels_&_Rental_cars,46.457907472776235,52.53747380601725
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (cardcash),income,0.005,0.002,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (cardcash),ui,0.007,0.003,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (cardcash),income,0.011,0.004,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (cardcash),ui,0.01,0.004,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (cardcash),income,0.018,0.005,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (cardcash),ui,0.01,0.003,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (cardcash),income,0.003,0.001,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (cardcash),ui,0.003,0.001,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (total),income,0.319,0.009,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
Spend (cardcash),income,0.002,0,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
Spend (cardcash),ui,0.001,0,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
Spend (total),income,0.305,0.017,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (total),ui,0.457,0.026,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (cardcash),income,0.003,0.001,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (cardcash),ui,0.005,0.001,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (cardcash),income,0.003,0.001,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (cardcash),ui,0.004,0.001,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (cardcash),income,0.002,0.001,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (cardcash),ui,0.001,0.001,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (cardcash),income,0.001,0.002,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (cardcash),ui,0,0.001,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (total),income,0.43,0.016,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (cardcash),income,0,0.001,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (cardcash),ui,0,0.001,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (total),income,0.319,0.009,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (total),ui,0.225,0.006,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (cardcash),income,0.001,0.001,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (cardcash),ui,0,0,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (total),income,0.305,0.017,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (total),ui,0.457,0.026,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (cardcash),income,-0.001,0.001,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (cardcash),ui,-0.001,0.002,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (cardcash),income,0.001,0.001,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (cardcash),ui,0.001,0.001,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (total),income,0.348,0.028,121994,$300 expiration June states,schools,12.505531973541093,7.210357532480412
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,schools,12.505531973541093,7.210357532480412
Spend (cardcash),income,0.003,0.001,121994,$300 expiration June states,schools,12.505531973541093,7.210357532480412
